http://washingtondc.craigslist.org/mld/mcy/4316155807.html,Huntsville / Decatur<13.32m>,76.164.173.104,2/15/2014 4:08:54 PM
http://washingtondc.craigslist.org/mld/mcy/4331068649.html,Parkersburg-marietta<4.65m>,173.218.216.171,2/15/2014 4:17:33 PM
http://washingtondc.craigslist.org/mld/mcy/4331068649.html,Pittsburgh,12.44.16.242,2/15/2014 4:18:33 PM
http://washingtondc.craigslist.org/mld/mcy/4316155807.html,Pittsburgh,12.44.16.242,2/15/2014 4:18:52 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Fort wayne<18.52m>,67.236.99.203,2/15/2014 4:34:57 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Fort wayne<18.52m>,67.236.99.203,2/15/2014 4:35:03 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Fort wayne<18.52m>,67.236.99.203,2/15/2014 4:35:10 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Fort wayne<18.52m>,67.236.99.203,2/15/2014 4:35:17 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Monterey bay<32.03m>,69.12.252.163,2/15/2014 4:35:31 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Monterey bay<32.03m>,69.12.252.163,2/15/2014 4:35:38 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Monterey bay<32.03m>,69.12.252.163,2/15/2014 4:35:44 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Monterey bay<32.03m>,69.12.252.163,2/15/2014 4:35:51 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Syracuse,67.242.13.122,2/15/2014 4:36:06 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Syracuse,67.242.13.122,2/15/2014 4:36:11 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Syracuse,67.242.13.122,2/15/2014 4:36:16 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Syracuse,67.242.13.122,2/15/2014 4:36:23 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Los Angeles,24.43.132.190,2/15/2014 4:36:39 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Los Angeles,24.43.132.190,2/15/2014 4:36:47 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Los Angeles,24.43.132.190,2/15/2014 4:36:54 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Los Angeles,24.43.132.190,2/15/2014 4:37:00 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Phoenix,67.137.103.218,2/15/2014 4:37:15 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Phoenix,67.137.103.218,2/15/2014 4:37:24 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Phoenix,67.137.103.218,2/15/2014 4:37:30 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Phoenix,67.137.103.218,2/15/2014 4:37:36 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Altoona-johnstown<16.50m>,71.60.170.91,2/15/2014 4:37:52 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Altoona-johnstown<16.50m>,71.60.170.91,2/15/2014 4:37:59 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Altoona-johnstown<16.50m>,71.60.170.91,2/15/2014 4:38:04 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Altoona-johnstown<16.50m>,71.60.170.91,2/15/2014 4:38:11 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Washington<7.11m>,69.198.153.153,2/15/2014 4:40:14 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Washington<7.11m>,69.198.153.153,2/15/2014 4:40:22 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Washington<7.11m>,69.198.153.153,2/15/2014 4:40:31 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Washington<7.11m>,69.198.153.153,2/15/2014 4:40:38 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Washington,138.238.231.101,2/15/2014 4:42:20 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Washington,138.238.231.101,2/15/2014 4:42:26 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Washington,138.238.231.101,2/15/2014 4:42:33 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Washington,138.238.231.101,2/15/2014 4:42:39 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Seattle-tacoma<11.29m>,98.232.20.214,2/15/2014 4:42:55 PM
http://washingtondc.craigslist.org/doc/vac/4329763044.html,Seattle-tacoma<11.29m>,98.232.20.214,2/15/2014 4:43:01 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Seattle-tacoma<11.29m>,98.232.20.214,2/15/2014 4:43:07 PM
http://washingtondc.craigslist.org/nva/prk/4326311463.html,Seattle-tacoma<11.29m>,98.232.20.214,2/15/2014 4:43:12 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Washington<21.26m>,173.73.85.189,2/17/2014 10:06:55 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Washington<21.26m>,173.73.85.189,2/17/2014 10:07:07 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Washington<21.26m>,173.73.85.189,2/17/2014 10:07:37 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Washington<21.26m>,173.73.85.189,2/17/2014 10:08:05 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Washington<21.26m>,173.73.85.189,2/17/2014 10:08:13 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Washington<21.26m>,173.73.85.189,2/17/2014 10:08:44 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Spokane / coeur d'alene<1.01m>,97.115.137.140,2/17/2014 10:09:23 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Spokane / coeur d'alene<1.01m>,97.115.137.140,2/17/2014 10:09:50 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Spokane / coeur d'alene<1.01m>,97.115.137.140,2/17/2014 10:09:59 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Spokane / coeur d'alene<1.01m>,97.115.137.140,2/17/2014 10:10:13 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Spokane / coeur d'alene<1.01m>,97.115.137.140,2/17/2014 10:10:20 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Spokane / coeur d'alene<1.01m>,97.115.137.140,2/17/2014 10:10:50 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Seattle-tacoma<28.03m>,67.183.150.228,2/17/2014 10:11:40 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Seattle-tacoma<28.03m>,67.183.150.228,2/17/2014 10:12:11 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Seattle-tacoma<28.03m>,67.183.150.228,2/17/2014 10:12:33 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Seattle-tacoma<28.03m>,67.183.150.228,2/17/2014 10:12:49 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Seattle-tacoma<28.03m>,67.183.150.228,2/17/2014 10:13:11 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Seattle-tacoma<28.03m>,67.183.150.228,2/17/2014 10:13:32 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Washington,96.26.102.7,2/17/2014 10:19:30 PM
http://washingtondc.craigslist.org/nva/rid/4337250291.html,Washington,96.26.102.7,2/17/2014 10:19:46 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Washington,96.26.102.7,2/17/2014 10:19:57 PM
http://washingtondc.craigslist.org/nva/rid/4314176550.html,Washington,96.26.102.7,2/17/2014 10:20:26 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Washington,96.26.102.7,2/17/2014 10:20:52 PM
http://washingtondc.craigslist.org/doc/cls/4336612702.html,Washington,96.26.102.7,2/17/2014 10:21:02 PM
http://washingtondc.craigslist.org/doc/mob/4335439678.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:42:03 AM
http://washingtondc.craigslist.org/doc/mob/4335439678.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:42:27 AM
http://washingtondc.craigslist.org/doc/mob/4335748753.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:42:57 AM
http://washingtondc.craigslist.org/doc/mob/4335748753.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:43:14 AM
http://washingtondc.craigslist.org/doc/mob/4335773738.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:43:43 AM
http://washingtondc.craigslist.org/doc/mob/4335773738.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:44:02 AM
http://washingtondc.craigslist.org/doc/mob/4336126039.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:44:31 AM
http://washingtondc.craigslist.org/doc/mob/4336126039.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:44:54 AM
http://washingtondc.craigslist.org/doc/mob/4336539879.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:45:17 AM
http://washingtondc.craigslist.org/doc/mob/4336539879.html,Washington<8.27m>,69.255.141.218,2/18/2014 11:45:40 AM
http://washingtondc.craigslist.org/doc/mob/4335439678.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:55:20 AM
http://washingtondc.craigslist.org/doc/mob/4335439678.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:55:34 AM
http://washingtondc.craigslist.org/doc/mob/4335748753.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:56:11 AM
http://washingtondc.craigslist.org/doc/mob/4335748753.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:56:38 AM
http://washingtondc.craigslist.org/doc/mob/4335773738.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:56:55 AM
http://washingtondc.craigslist.org/doc/mob/4335773738.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:57:10 AM
http://washingtondc.craigslist.org/doc/mob/4336126039.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:57:31 AM
http://washingtondc.craigslist.org/doc/mob/4336126039.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:57:45 AM
http://washingtondc.craigslist.org/doc/mob/4336539879.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:58:09 AM
http://washingtondc.craigslist.org/doc/mob/4336539879.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:58:32 AM
http://washingtondc.craigslist.org/doc/mod/4330211035.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:58:51 AM
http://washingtondc.craigslist.org/doc/mod/4330211035.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:59:21 AM
http://washingtondc.craigslist.org/doc/mod/4330214380.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:59:41 AM
http://washingtondc.craigslist.org/doc/mod/4330214380.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 11:59:53 AM
http://washingtondc.craigslist.org/doc/mod/4331202891.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:00:27 PM
http://washingtondc.craigslist.org/doc/mod/4331202891.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:00:54 PM
http://washingtondc.craigslist.org/doc/mod/4331203995.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:01:10 PM
http://washingtondc.craigslist.org/doc/mod/4331203995.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:01:31 PM
http://washingtondc.craigslist.org/doc/mod/4333701513.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:01:50 PM
http://washingtondc.craigslist.org/doc/mod/4333701513.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:02:15 PM
http://washingtondc.craigslist.org/doc/mod/4333702592.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:02:52 PM
http://washingtondc.craigslist.org/doc/mod/4333702592.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:03:17 PM
http://washingtondc.craigslist.org/doc/mod/4333725520.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:03:34 PM
http://washingtondc.craigslist.org/doc/mod/4333725520.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:04:05 PM
http://washingtondc.craigslist.org/doc/mod/4333729654.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:04:39 PM
http://washingtondc.craigslist.org/doc/mod/4333729654.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:05:00 PM
http://washingtondc.craigslist.org/doc/mod/4334570380.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:05:24 PM
http://washingtondc.craigslist.org/doc/mod/4334570380.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:05:53 PM
http://washingtondc.craigslist.org/doc/mod/4334571352.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:06:22 PM
http://washingtondc.craigslist.org/doc/mod/4334571352.html,Spokane / coeur d'alene<1.01m>,24.19.153.98,2/18/2014 12:06:49 PM
http://washingtondc.craigslist.org/doc/mob/4335439678.html,Washington<19.27m>,72.196.202.198,2/18/2014 6:21:30 PM
http://washingtondc.craigslist.org/doc/mob/4335439678.html,Washington<19.27m>,72.196.202.198,2/18/2014 6:21:39 PM
http://washingtondc.craigslist.org/doc/mob/4335748753.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:22:18 PM
http://washingtondc.craigslist.org/doc/mob/4335748753.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:22:33 PM
http://washingtondc.craigslist.org/doc/mob/4335773738.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:23:01 PM
http://washingtondc.craigslist.org/doc/mob/4335773738.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:23:27 PM
http://washingtondc.craigslist.org/doc/mob/4336126039.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:23:54 PM
http://washingtondc.craigslist.org/doc/mob/4336126039.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:24:21 PM
http://washingtondc.craigslist.org/doc/mob/4336539879.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:24:36 PM
http://washingtondc.craigslist.org/doc/mob/4336539879.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:25:07 PM
http://washingtondc.craigslist.org/doc/mod/4330211035.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:25:35 PM
http://washingtondc.craigslist.org/doc/mod/4330211035.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:25:57 PM
http://washingtondc.craigslist.org/doc/mod/4330214380.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:26:24 PM
http://washingtondc.craigslist.org/doc/mod/4330214380.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:26:40 PM
http://washingtondc.craigslist.org/doc/mod/4331202891.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:27:01 PM
http://washingtondc.craigslist.org/doc/mod/4331202891.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:27:27 PM
http://washingtondc.craigslist.org/doc/mod/4331203995.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:27:47 PM
http://washingtondc.craigslist.org/doc/mod/4331203995.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:27:56 PM
http://washingtondc.craigslist.org/doc/mod/4333701513.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:28:22 PM
http://washingtondc.craigslist.org/doc/mod/4333701513.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:28:40 PM
http://washingtondc.craigslist.org/doc/mod/4333702592.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:29:08 PM
http://washingtondc.craigslist.org/doc/mod/4333702592.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:29:39 PM
http://washingtondc.craigslist.org/doc/mod/4333725520.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:30:00 PM
http://washingtondc.craigslist.org/doc/mod/4333725520.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:30:22 PM
http://washingtondc.craigslist.org/doc/mod/4333729654.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:30:49 PM
http://washingtondc.craigslist.org/doc/mod/4333729654.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:30:57 PM
http://washingtondc.craigslist.org/doc/mod/4334570380.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:31:27 PM
http://washingtondc.craigslist.org/doc/mod/4334570380.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:31:38 PM
http://washingtondc.craigslist.org/doc/mod/4334571352.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:32:04 PM
http://washingtondc.craigslist.org/doc/mod/4334571352.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:32:24 PM
http://washingtondc.craigslist.org/doc/mod/4334574740.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:32:43 PM
http://washingtondc.craigslist.org/doc/mod/4334574740.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:33:10 PM
http://washingtondc.craigslist.org/doc/mod/4335435453.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:33:32 PM
http://washingtondc.craigslist.org/doc/mod/4335435453.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:34:00 PM
http://washingtondc.craigslist.org/doc/mod/4335436130.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:34:19 PM
http://washingtondc.craigslist.org/doc/mod/4335436130.html,Seattle-tacoma<30.27m>,67.170.80.190,2/18/2014 6:34:33 PM
